FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
Francke´sche Grundstücksverwaltung,V_Polygon 139.1-5 (Ausdehnung),,12059,Roseggerstraße 25,14,10,,0,,,FRANCKE´SCHE GRUNDSTÜCKSVERWALTUNG - V_POLYGON 139.2 - 70 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Francke´sche Grundstücksverwaltung,V_Polygon 139.1-5 (Ausdehnung),,12059,Weigandufer 27,37,33,,3,,,FRANCKE´SCHE GRUNDSTÜCKSVERWALTUNG - V_POLYGON 139.2 - 70 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Francke´sche Grundstücksverwaltung,V_Polygon 139.1-5 (Ausdehnung),,12059,Weigandufer 26,11,17,,1,,,FRANCKE´SCHE GRUNDSTÜCKSVERWALTUNG - V_POLYGON 139.2 - 70 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Frank Antje Grundbesitzverwaltung,Polygon 1.2,ABZ IV,10777,Eisenacher Straße 115,18,18,19,2,0,2,Frank Antje Grundbesitzverwaltung - Cluster 01 - verloren,Polygon 1.2,Tempelhof-Schöneberg,Schöneberg
Frank Antje Grundbesitzverwaltung,Cluster 05,ABZ III,10713,Sigmaringer Straße 6,17,,19,1,0,,Frank Antje Grundbesitzverwaltung - Cluster 05 (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Frank Antje Grundbesitzverwaltung,Cluster 03,ABZ V,10623,Grolmanstraße 28,17,,17,2,0,,Frank Antje Grundbesitzverwaltung - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Frank Antje Grundbesitzverwaltung,Cluster 03,ABZ V,10623,Grolmanstraße 27,13,,18,4,0,,Frank Antje Grundbesitzverwaltung - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Frank Antje Grundbesitzverwaltung,Cluster 03,ABZ III,10707,Xantener Straße 11,13,,16,2,0,,Frank Antje Grundbesitzverwaltung - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Frank Rüdrich Immobilien e. Kfm.,Cluster 83,ABZ III,10585,Behaimstraße 25,11,11,,2,,,Frank Rüdrich Immobilien e. Kfm. - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Frank Rüdrich Immobilien e. Kfm.,Cluster 83,ABZ III,10585,Gierkezeile 38,12,12,,1,,,Frank Rüdrich Immobilien e. Kfm. - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Frau Hanke Eigentümerin,V_Polygon 80.1-2 (Ausdehnung),,10557,Lüneburger Straße 1,13,16,,2,,,Frau Hanke Eigentümerin - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Frauke Weber Hausverwaltung & Immobilien,Cluster 21,,14199,Kissinger Straße 68,0,,4,0,0,,Frauke Weber Hausverwaltung & Immobilien - Cluster 21 - WEG - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Frauke Weber Hausverwaltung & Immobilien,Cluster 21,,14199,Kissinger Straße 68B,,,3,,0,,Frauke Weber Hausverwaltung & Immobilien - Cluster 21 - WEG - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Friedrich & Beerhalter Immobilienmanagement GmbH,Cluster 04,ABZ III,10711,Joachim-Friedrich-Straße 54,27,25,25,1,0,0,Friedrich & Beerhalter Immobilienmanagement GmbH - Cluster 04 (Duldung) - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Halensee
Friedrich & Jörg Denker Grundstücksgemeinschaft,V_Polygon 32.1 (Ausdehnung),,10245,Krossener Straße 23,20,40,28,0,5,2,Friedrich & Jörg Denker Grundstücksgemeinschaft - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
Friedrich & Jörg Denker Grundstücksgemeinschaft,V_Polygon 139.4,,12051,Emser Straße 47,18,18,,0,,1,Friedrich & Jörg Denker Grundstücksgemeinschaft - V_Polygon 139.5 (S1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Friedrich & Jörg Denker Grundstücksgemeinschaft,V_Polygon 139.1-5 (Ausdehnung),,12047,Weserstraße 2,16,15,15,1,1,,Friedrich & Jörg Denker Grundstücksgemeinschaft -  V_Polygon 139.2 - 15 (M1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Friedrich Luther Eigentümer,Cluster 03,ABZ III,10707,Bayerische Straße 32,18,28,,4,,2,Friedrich Luther Eigentümer - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Fritz Half Hausverwaltung,Cluster 03,ABZ III,10707,Lietzenburger Straße 102,19,8,,13,,2,Fritz Half Hausverwaltung - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Gamma 2000 plus Grundstücksverwaltungsgesellschaft mbH,V_Polygon 139.2,,12047,Sanderstraße 15,16,12,,1,,2,GAMMA 2000 PLUS GRUNDSTÜCKSVERWALTUNGSGESELLSCHAFT MBH - V_POLYGON 139.2 - 54 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
Gamma 2000 plus Grundstücksverwaltungsgesellschaft mbH,V_Polygon 139.2,,12047,Sanderstraße 14,31,38,,0,,2,GAMMA 2000 PLUS GRUNDSTÜCKSVERWALTUNGSGESELLSCHAFT MBH - V_POLYGON 139.2 - 54 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
Garbeo Hausverwaltung GmbH,V_Polygon 76.1,,10115,Anklamer Straße 33,20,20,,5,,5,Garbeo Hausverwaltung GmbH - V_Polygon 76.1 - 25 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
GbR Boxhagener Straße 88,V_Polygon 32.1,,10245,Boxhagener Straße 88,11,10,11,2,2,2,GbR Boxhagener Straße 88 - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
GEAG Immobilienverwaltungs GmbH,Cluster 64,,14199,Misdroyer Straße 56,20,17,17,0,0,,GEAG Immobilienverwaltungs GmbH - Cluster 64 -17 - verloren,Cluster 64,Charlottenburg-Wilmersdorf,Schmargendorf
Gerson Immobilien,Cluster 64,,12161,Lefèvrestraße 22,,12,,,,,Gerson Immobilien - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Käthe-Niederkirchner-Straße 21,10,,10,1,0,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - V_Polygon 70.2 - 81 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Hufelandstraße 29,14,,14,0,0,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - V_Polygon 70.2 - 81 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Bötzowstraße 33,13,,13,2,3,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - V_Polygon 70.2 - 81 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Bötzowstraße 26,15,,15,3,2,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - V_Polygon 70.2 - 81 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Am Friedrichshain 7,10,,10,0,1,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - V_Polygon 70.2 - 81 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Liselotte-Herrmann-Straße 34,12,,12,3,1,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - V_Polygon 70.2 - 81 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Polygon 3.4,ABZ IV,10789,Eislebener Straße 2,22,27,27,1,0,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 01 - verloren,Polygon 3.4,Charlottenburg-Wilmersdorf,Charlottenburg
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 21,,14193,Hubertusallee 7,0,36,10,0,1,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 21 - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Grunewald
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 05,ABZ III,10717,Nassauische Straße 64,14,,18,2,0,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 05 - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 03,ABZ III,10719,Pfalzburger Straße 81,17,,15,1,1,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 03,ABZ IV,10719,Pfalzburger Straße 9,11,,16,2,0,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 03,ABZ III,10719,Düsseldorfer Straße 8,18,,23,2,1,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 03,ABZ III,10719,Emser Straße 25,16,,16,1,2,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
