FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
"""LAREN"" Hausverwaltung GmbH",V_Polygon 6.1-3 (Ausdehnung),,14059,Schloßstraße 32,20,30,,8,,,"""LAREN"" Hausverwaltung GmbH - V_Polygon 6.3 (A1) - verloren",V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
1 Berlin x GmbH & Co. KG,Polygon 6.0,,14057,Leonhardtstraße 21,17,16,12,2,0,,1 Berlin x GmbH & Co. KG - Polygon_6.0 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
ABAKUS Immobilienverwaltungsgesellschaft mbH,V_Polygon 76.1,,10435,Swinemünder Straße 106,22,22,,1,,1,ABAKUS Immobilienverwaltungsgesellschaft mbH - V_Polygon 76.1 - 48 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
ABAKUS Immobilienverwaltungsgesellschaft mbH,V_Polygon 76.1,,10435,Arkonaplatz 4,8,,,1,,1,ABAKUS Immobilienverwaltungsgesellschaft mbH - V_Polygon 76.1 - 48 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
ABAKUS Immobilienverwaltungsgesellschaft mbH,V_Polygon 76.1,,10435,Swinemünder Straße 11,18,18,,2,,,ABAKUS Immobilienverwaltungsgesellschaft mbH - V_Polygon 76.1 - 48 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
acant Immobilienverwaltungsgesellschaft mbH,V_Polygon 80.1-2 (Ausdehnung),,10559,Stephanstraße 52,36,45,51,2,0,,ACANT IMMOBILIENVERWALTUNGSGESELLSCHAFT MBH - V_Polygon 80.1 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
adiuvare Grundbesitzbetreuung GmbH,V_Polygon 2.1,ABZ III,10717,Helmstedter Straße 21,18,24,,3,,,adiuvare Grundbesitzbetreuung GmbH - Cluster 02 - verloren,V_Polygon 2.1,Charlottenburg-Wilmersdorf,Wilmersdorf
Admina GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Witzlebenstraße 26,27,34,34,1,0,,Admina GmbH - V_Polygon 6.1 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 80.1,,10559,Stendaler Straße 18B,12,24,,0,,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 80.1,,10559,Stendaler Straße 18A,21,24,,2,,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 80.1,,10559,Stendaler Straße 16,14,18,,0,,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 2.5,ABZ IV,10823,Eisenacher Straße 50,,22,0,,0,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 2.5,ABZ IV,10823,Wartburgstraße 48,16,20,0,2,0,2,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,Cluster 83,ABZ III,10587,Lohmeyerstraße 24A,15,15,0,0,0,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,Cluster 83,ABZ III,10587,Lohmeyerstraße 24,13,12,0,1,0,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Albert Krüdewagen Eigentümer,V_Polygon 79.1,,13347,Ravenéstraße 1,5,5,,1,,1,Albert Krüdewagen Eigentümer - V_Polygon 79.1 - 6 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Alep e. V.,V_Polygon 139.3,,12045,Wildenbruchstraße 13,17,18,,0,,,ALep e.V. V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Alep e. V.,V_Polygon 139.3,,12045,Wildenbruchstraße 12,14,12,,1,,,ALep e.V. V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Alep e. V.,V_Polygon 139.3,,12045,Wildenbruchstraße 11,17,12,,2,,,ALep e.V. V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
ALMA Real Estate Management GmbH,Cluster 22,,12161,Stubenrauchstraße 29,1,9,7,0,0,,SURF Immobilienmanagement - Cluster 22 - 45 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ALMA Real Estate Management GmbH,Cluster 22,,12161,Stubenrauchstraße 28,8,9,7,2,0,,SURF Immobilienmanagement - Cluster 22 - 45 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ALMA Real Estate Management GmbH,Cluster 22,,12161,Eschenstraße 4,9,10,8,1,0,,SURF Immobilienmanagement - Cluster 22 - 45 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ALP GmbH Immobilienverwaltung,V_Polygon 22.4,ABZ IV,12159,Rheinstraße 61,0,,,2,,,ALP GMBH IMMOBILIENVERWALTUNG - 0064 - 2 - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Friedenau
ALP GmbH Immobilienverwaltung,Cluster 22,,12159,Handjerystraße 17,19,18,18,1,,0,ALP GMBH IMMOBILIENVERWALTUNG - 0022 - 19 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Amphion Haus und Grundstücksverwaltungs GmbH,V_Polygon 32.2,,10247,Schreinerstraße 29,27,36,,2,,2,Amphion Haus und Grundstücksverwaltungs GmbH - V_Polygon 32.2 -  S93 (M1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Amphion Haus und Grundstücksverwaltungs GmbH,V_Polygon 32.2,,10247,Bänschstraße 79,24,36,,2,,2,Amphion Haus und Grundstücksverwaltungs GmbH - V_Polygon 32.2 -  S93 (M1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Amphion Haus und Grundstücksverwaltungs GmbH,V_Polygon 32.2,,10247,Bänschstraße 87,15,21,,0,,,Amphion Haus und Grundstücksverwaltungs GmbH - V_Polygon 32.2 -  S93 (M1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Andreas Enge Grundbesitzverwaltung GmbH,V_Polygon 2.1,ABZ III,10779,Bamberger Straße 22,21,30,30,2,,,Andreas Enge Grundbesitzverwaltung GmbH - V_Polygon 2.1 (M1) - verloren,V_Polygon 2.1,Charlottenburg-Wilmersdorf,Wilmersdorf
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,V_Polygon 80.2,,10551,Bredowstraße 11,20,26,27,1,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - V_Polygon 80.2 - 42 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 83,ABZ III,10585,Haubachstraße 7,5,,7,0,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 67,,13088,Bizetstraße 94,6,6,3,0,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 67 - verloren,Cluster 67,Pankow,Weißensee
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 67,,13088,Smetanastraße 12,1,1,3,0,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 67 - verloren,Cluster 67,Pankow,Weißensee
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 64,,12161,Stubenrauchstraße 12,8,10,9,0,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 64,,12161,Stubenrauchstraße 11,11,10,9,1,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 64,,12161,Rotdornstraße 4,6,10,10,0,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum,Cluster 22,,12159,Bennigsenstraße 8,10,,24,1,0,,Andreas Herr-von Mioduski Verwaltung von Miethäusern und Wohnungseigentum - Cluster 22 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Andreas Spreitzer Immobilien GmbH,V_Polygon 139.4,,12049,Allerstraße 11,25,37,33,0,0,2,ANDREAS SPREITZER IMMOBILIEN GMBH - V_POLYGON 139.4 - 39 (S1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Andreas Spreitzer Immobilien GmbH,Cluster 83,ABZ III,10585,Behaimstraße 21,20,25,25,1,0,,Andreas Spreitzer Immobilien GmbH - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Andreas Zachrau GmbH,V_Polygon 139.1-5 (Ausdehnung),,12055,Schöneweider Straße 7,23,23,25,0,,1,Andreas Zachrau GmbH - V_Polygon 139.3 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Andreas Zachrau GmbH,V_Polygon 139.1-5 (Ausdehnung),,12055,Schöneweider Straße 6,16,27,25,0,0,,Andreas Zachrau GmbH - V_Polygon 139.3 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Anette und Peter Holm-Olesen Verwaltung,V_Polygon 32.2,,10247,Bänschstraße 48,19,20,19,0,1,1,Anette und Peter Holm-Olesen Verwaltung -  V_Polygon 32.2 - 19 (M1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Architektenbüro Dickopf & Walter,V_Polygon 139.4,,12049,Lichtenrader Straße 44,28,30,27,0,,,ARCHITEKTENBÜRO DICKOPF & WALTER - V_POLYGON 139.4 - 30 (S1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Architektenbüro Dickopf & Walter,V_Polygon 139.2,,12045,Weserstraße 38,20,30,28,2,2,2,ARCHITEKTENBÜRO DICKOPF & WALTER - V_POLYGON 139.2 - verloren,V_Polygon 139.2,Neukölln,Neukölln
arcos hausverwaltung oHG,V_Polygon 22.4,ABZ IV,12161,Dickhardtstraße 24,11,10,,0,,,arcos hausverwaltung oHG - V_Polygon 22.4 (A1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Friedenau
arkus Haus- und Grundstücksverwaltungs GmbH,V_Polygon 91.2,,13353,Burgsdorfstraße 6,14,24,,1,,1,arkus Haus- und Grundstücksverwaltungs GmbH - V_Polygon 91.2 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
arkus Haus- und Grundstücksverwaltungs GmbH,V_Polygon 80.1-2 (Ausdehnung),,10553,Beusselstraße 18,24,30,,1,,,arkus Haus- und Grundstücksverwaltungs GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
arkus Haus- und Grundstücksverwaltungs GmbH,V_Polygon 76.1,,10435,Fürstenberger Straße 14,11,11,,1,,1,arkus Haus- und Grundstücksverwaltungs GmbH - V_Polygon 76.1 - 24 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
arkus Haus- und Grundstücksverwaltungs GmbH,V_Polygon 76.1,,10435,Wolliner Straße 66,12,12,,1,,,arkus Haus- und Grundstücksverwaltungs GmbH - V_Polygon 76.1 - 24 (A1) - 12 - verloren,V_Polygon 76.1,Mitte,Mitte
Arne Jonack Hausverwaltung,V_Polygon 80.1,,10559,Perleberger Straße 11,16,14,14,0,0,0,Arne Jonack Hausverwaltung - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Arne Jonack Hausverwaltung,Cluster 02,,10779,Barbarossastraße 23,16,16,16,1,0,0,Arne Jonack Hausverwaltung - Cluster 02 - 16 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
ARTvivendi Wohnungs- und Grundstücksverwaltungsgesellschaft mbH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Hufelandstraße 6,14,15,17,1,,1,ARTvivendi Wohnungs- und Grundstücksverwaltungsgesellschaft mbH - V_Polygon 70.2 - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
ASCAR FM GmbH,Cluster 83,ABZ III,10587,Charlottenburger Ufer 16,37,37,28,2,0,,ASCAR FM GmbH - Cluster 83 - 37 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
ASK Bauplanung GmbH,Cluster 83,ABZ III,10587,Galvanistraße 16,31,33,,11,,3,ASK Bauplanung GmbH HV - Cluster 83 - 36 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
ASORA Hausverwaltung KG,V_Polygon 91.2,,13353,Triftstraße 1,23,16,23,0,2,2,ASORA Hausverwaltung KG - V_Polygon 91.2 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
ASORA Hausverwaltung KG,V_Polygon 91.2,,13353,Müllerstraße 157,11,8,11,2,4,4,ASORA Hausverwaltung KG - V_Polygon 91.2 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Astrid Herrmann,V_Polygon 76.1,,10115,Anklamer Straße 31,50,50,50,2,,2,Astrid Herrmann - V_Polygon 76.1 - 52 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
ATENTO Hausverwaltung GbR,V_Polygon 80.1,,10559,Wilsnacker Straße 32,20,22,25,1,0,,ATENTO Hausverwaltung GbR - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
ATERRA Liegenschaften in Berlin GmbH,Cluster 64,,12161,Schmiljanstraße 28,15,18,,1,,1,ATERRA Liegenschaften in Berlin GmbH - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Augustus Management GmbH,Cluster 22,,12159,Hauptstraße 65,0,20,,17,,,Augustus Hausverwaltung GmbH - Cluster 22 - 20 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
AVILA Management & Consulting AG,Cluster 01,,10781,Hohenstaufenstraße 2,10,,7,1,0,,AVILA Management & Consulting AG - Cluster 01 - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
B. Philipp Hausverwaltungs GmbH,Cluster 83,ABZ III,10627,Kaiser-Friedrich-Straße 68A,14,9,9,0,0,,B. Philipp Hausverwaltungs GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
B. Philipp Hausverwaltungs GmbH,Cluster 83,ABZ III,10627,Kaiser-Friedrich-Straße 68,15,9,9,1,0,,B. Philipp Hausverwaltungs GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
B. Philipp Hausverwaltungs GmbH,Cluster 83,ABZ III,10627,Schillerstraße 67,13,8,8,0,0,,B. Philipp Hausverwaltungs GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
B. Philipp Hausverwaltungs GmbH,Cluster 83,ABZ III,10627,Schillerstraße 66,16,9,9,1,0,,B. Philipp Hausverwaltungs GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
B & K Hausverwaltung GmbH,Cluster 67,,13088,Meyerbeerstraße 19,5,,7,0,0,,B & K Hausverwaltung GmbH - Cluster 67 - verloren,Cluster 67,Pankow,Weißensee
B & K Hausverwaltung GmbH,Cluster 67,,13088,Borodinstraße 10,3,6,8,1,0,,B & K Hausverwaltung GmbH - Cluster 67 - verloren,Cluster 67,Pankow,Weißensee
Baran Kücük - Grundstücksmanagement,V_Polygon 80.1-2 (Ausdehnung),,10555,Alt-Moabit 49,14,,22,0,0,,Baran Kücük - Grundstücksmanagement - 	 V_Polygon 80.2 - 41 (M1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Baran Kücük - Grundstücksmanagement,V_Polygon 80.1-2 (Ausdehnung),,10555,Alt-Moabit 48,3,10,9,1,0,,Baran Kücük - Grundstücksmanagement - 	 V_Polygon 80.2 - 41 (M1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Baran Kücük - Grundstücksmanagement,V_Polygon 80.1-2 (Ausdehnung),,10555,Alt-Moabit 47,15,,10,2,0,,Baran Kücük - Grundstücksmanagement - 	 V_Polygon 80.2 - 41 (M1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Bardehle Konfektion GmbH,Cluster 01,,10777,Fuggerstraße 14,9,,,0,,,Bardehle Konfektion GmbH - Cluster 01 - leeres Grundstück - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
Bardehle Konfektion GmbH,Cluster 01,,10777,Martin-Luther-Straße 9,2,,,1,,,Bardehle Konfektion GmbH - Cluster 01 - leeres Grundstück - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
bc Boden-Commercial-Immobilien GmbH,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10119,Auguststraße 48,7,7,7,1,1,1,bc Boden-Commercial-Immobilien GmbH - V_Polygon 75.3 - 8 (A1) - verloren,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
Behle Immobilien,V_Polygon 80.1-2 (Ausdehnung),,10555,Alt-Moabit 40,18,22,22,2,2,2,Behle Immobilien - V_Polygon 80.2 - 24 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Behle Immobilien,V_Polygon 6.1-3 (Ausdehnung),,10585,Stallstraße 2,6,8,8,1,0,0,Behle Immobilien - V_Polygon 6.3 - 8 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Behle Immobilien,Cluster 67,,13088,Smetanastraße 34,5,9,8,0,,,Behle Immobilien - Cluster 67 - 16 (A1) - verloren,Cluster 67,Pankow,Weißensee
Behle Immobilien,Cluster 67,,13088,Gounodstraße 60,11,16,8,0,0,0,Behle Immobilien - Cluster 67 - 16 (A1) - verloren,Cluster 67,Pankow,Weißensee
BELIMA Berliner Liegenschaften Management GmbH & Co. KG,V_Polygon 79.1,,10115,Chausseestraße 53,1,1,1,0,0,,BELIMA Berliner Liegenschaften Management GmbH & Co. KG - V_Polygon 79.1 - 1 (A1) - verloren,V_Polygon 79.1,Mitte,Mitte
BELIMA Berliner Liegenschaften Management GmbH & Co. KG,V_Polygon 139.3,,12043,Karl-Marx-Straße 95,0,,1,1,0,,BELIMA Berliner Liegenschaften Management GmbH & Co. KG - V_Polygon 139.3 - 1 (A1) - B2B - verloren,V_Polygon 139.3,Neukölln,Neukölln
Bellatris Real Estate Gmbh & Co. KG,V_Polygon 80.1-2 (Ausdehnung),,10551,Bredowstraße 17,11,14,14,0,,,Bellatris Real Estate Gmbh & Co. Kg - V_Polygon 80.2 (S1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Bellatris Real Estate Gmbh & Co. KG,V_Polygon 80.1-2 (Ausdehnung),,10551,Bredowstraße 16,19,15,19,1,1,,Bellatris Real Estate Gmbh & Co. Kg - V_Polygon 80.2 (S1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Bellatris Real Estate Gmbh & Co. KG,V_Polygon 80.1-2 (Ausdehnung),,10551,Bredowstraße 16A,14,14,14,1,1,,Bellatris Real Estate Gmbh & Co. Kg - V_Polygon 80.2 (S1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Bellatris Real Estate Gmbh & Co. KG,V_Polygon 24.1,,10785,Genthiner Straße 48,5,14,14,11,11,2,Bellatris Real Estate Gmbh & Co. Kg - V_Polygon 24.1 (A1) - verloren,V_Polygon 24.1,Mitte,Tiergarten
Bellatris Real Estate Gmbh & Co. KG,V_Polygon 139.1-5 (Ausdehnung),,12051,Warthestraße 68,39,40,40,1,1,1,Bellatris Real Estate Gmbh & Co. Kg - V_Polygon 139.5 (S1) -verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
berlincasa hausverwaltung,V_Polygon 80.1,,10557,Calvinstraße 33,17,18,17,4,0,,berlincasa hausverwaltung - V_Polygon 80.1 - 17 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Berlin Eiendom Hausverwaltung UG (haftungsbeschränkt),Cluster 05,ABZ III,10713,Detmolder Straße 21,27,,,3,,,Berlin Eiendom Hausverwaltung UG (haftungsbeschränkt) - Cluster 05 (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Berlus GmbH,V_Polygon 80.1-2 (Ausdehnung),,10551,Emdener Straße 7,32,39,37,3,,,BERLUS GMBH - V_Polygon 80.2 - 40 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Bernd Langheinrich Immobilien,V_Polygon 91.2,,13353,Genter Straße 6,14,12,,0,,,Bernd Langheinrich Immobilien - V_Polygon 91.2 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Bernd Langheinrich Immobilien,Cluster 83,ABZ III,10585,Wilmersdorfer Straße 155,15,20,,2,,,Bernd Langheinrich Immobilien - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Beta-Roseneck Hausverwaltungs- GmbH,Cluster 01,,10777,Martin-Luther-Straße 14,24,29,,2,,2,Beta-Roseneck Hausverwaltungs- GmbH - Cluster 01 - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
Beta-Roseneck Hausverwaltungs- GmbH,Cluster 01,,10777,Martin-Luther-Straße 18,42,35,,3,,2,Beta-Roseneck Hausverwaltungs- GmbH - Cluster 01 - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
Beta-Roseneck Hausverwaltungs- GmbH,Cluster 01,,10777,Martin-Luther-Straße 16,65,63,,3,,2,Beta-Roseneck Hausverwaltungs- GmbH - Cluster 01 - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 106,16,17,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 104,15,12,,1,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 102,13,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 100,17,18,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 98,12,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 96,15,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 94,11,18,,1,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 92,15,17,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 39,14,18,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 37,16,18,,3,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 35,11,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 33,13,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 31,15,18,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 29,14,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
